Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results	Substrate
NODE_40733_length_1044_cov_5.173913_2	-	AA6(2-103)	-	-	1	-	-
NODE_40743_length_1044_cov_3.313448_1	2.4.1.10:27;3.2.1.26:8	GH68(1-247)	GH68_e2(1-246)	GH68_2	3	GH68_e2	fructan
NODE_40746_length_1044_cov_2.862487_1	3.2.1.1:4;3.2.1.141:34|-	GH13_10(118-295)	CBM48_e0(3-96)+GH13_e120(118-295)	CBM48+GH13_10	3	CBM48_e0|GH13_10	alpha-glucan
NODE_40757_length_1044_cov_2.437816_1	-	-	GH39_e119(88-326)	GH39	2	GH39_e119	-
NODE_40767_length_1044_cov_1.920121_1	-	CBM47(85-199)	CBM47_e21(87-198)	-	2	CBM47_e21	host glycan
NODE_40768_length_1044_cov_1.470172_1	-	-	GT107_e4(152-347)	-	1	-	-
NODE_40787_length_1043_cov_3.546559_1	2.4.1.21:29	GT5(1-343)	GT5_e31(3-346)	GT5	3	GT5_e31	-
NODE_4078_length_7075_cov_4.301140_2	-	-	-	GH43_24+GH43_24	1	-	-
NODE_40791_length_1043_cov_2.930162_2	-	-	-	GT4	1	-	-
NODE_407_length_39510_cov_8.377164_34	-	-	GH23_e361(18-157)	GH0	2	GH23_e361	-
NODE_4082_length_7073_cov_4.212596_1	-	-	-	GT31	1	-	-
NODE_4082_length_7073_cov_4.212596_2	-	-	-	GT2	1	-	-
NODE_40860_length_1042_cov_1.765957_2	-	-	GH16_e184(69-246)	GH0	2	GH16_e184	-
NODE_40861_length_1042_cov_1.712259_1	2.4.1.-:2	-	GH94_e0(49-340)	GH189+GH94+GT84	2	GH94_e0	chitin
NODE_4086_length_7069_cov_9.203450_4	-	GT2(7-167)	GT2(5-179)	GT2	3	GT2	-
NODE_408_length_39501_cov_18.499341_29	2.4.99.-:11	GT9(70-306)	GT9_e84(66-322)	GT9	3	GT9_e84	-
NODE_408_length_39501_cov_18.499341_30	2.4.99.-:11	GT9(77-298)	GT9_e71(78-299)	GT9	3	GT9_e71	-
NODE_408_length_39501_cov_18.499341_31	-	GT9(108-308)	GT9_e265(109-311)	GT9	3	GT9_e265	-
NODE_408_length_39501_cov_18.499341_32	-	GT121(208-357)	-	GT121	2	GT121	-
NODE_408_length_39501_cov_18.499341_33	-	-	-	GT9	1	-	-
NODE_408_length_39501_cov_18.499341_34	-	GT4(200-323)	GT4_e2866(203-342)	GT4	3	GT4_e2866	-
NODE_408_length_39501_cov_18.499341_35	-	GT9(108-325)	GT9_e213(107-331)	GT9	3	GT9_e213	-
NODE_408_length_39501_cov_18.499341_36	2.4.99.-:1	GT9(85-320)	GT9_e18(87-321)	GT9	3	GT9_e18	-
NODE_408_length_39501_cov_18.499341_37	-	GT4(202-341)	GT4_e3707(204-339)	GT4	3	GT4_e3707	-
NODE_408_length_39501_cov_18.499341_38	2.4.99.-:25	GT30(33-211)	GT30_e0(35-211)	GT30	3	GT30_e0	-
NODE_408_length_39501_cov_18.499341_39	-	GT2(8-158)	GT2(9-130)	GT2	3	GT2	-
NODE_40906_length_1041_cov_2.129817_1	5.4.99.15:5	GH13_26(1-220)	GH13_e105(1-221)	GH13_26	3	GH13_26	alpha-glucan
NODE_4090_length_7066_cov_258.227357_3	-	-	-	PL4_2	1	-	-
NODE_40911_length_1040_cov_45.588832_1	-	-	-	GH5	1	-	-
NODE_4092_length_7058_cov_17.634300_1	-	CBM47(290-401)	CBM47_e14(293-405)	CBM47	3	CBM47_e14	host glycan
NODE_40936_length_1040_cov_2.962437_1	-	-	-	GH39	1	-	-
NODE_409399_length_174_cov_17.974790_1	-	-	CBM50_e126(11-53)	-	1	-	chitin
NODE_40943_length_1040_cov_2.608122_2	-	-	-	GH85	1	-	-
NODE_4094_length_7056_cov_5.579203_1	-	-	-	CBM50	1	-	-
NODE_40958_length_1040_cov_1.879188_1	-	-	-	GT4	1	-	-
NODE_4097_length_7049_cov_4.750214_1	2.4.1.-:33	-	CBM43_e30(79-162)	-	1	-	-
NODE_40983_length_1039_cov_2.932927_1	-	GT107(2-284)	GT107_e8(2-282)	GT107	3	GT107_e8	-
NODE_40996_length_1039_cov_2.447154_1	-	-	GH77_e29(1-175)	GH77	2	GH77_e29	alpha-glucan
NODE_409_length_39475_cov_5.423617_15	-	-	-	GT7	1	-	-
NODE_409_length_39475_cov_5.423617_21	-	-	-	GT90	1	-	-
NODE_409_length_39475_cov_5.423617_3	-	-	-	GH78	1	-	-
NODE_40_length_99818_cov_8.127833_22	-	GH5(42-328)	GH5_e205(57-329)	-	2	GH5_e205	-
NODE_40_length_99818_cov_8.127833_7	-	-	-	GT0	1	-	-
NODE_4100_length_7045_cov_15.841345_3	-	GT1(9-415)	GT1_e20(11-415)	GT1	3	GT1_e20	-
NODE_4100_length_7045_cov_15.841345_4	-	-	-	GT1	1	-	-
NODE_4104_length_7043_cov_6.245564_3	-	AA6(3-179)	-	-	1	-	-
NODE_41065_length_1038_cov_1.772126_1	-	-	-	GH18+CBM5+CBM5	1	-	-
NODE_41069_length_1038_cov_1.451679_1	-	-	-	GT2	1	-	-
NODE_410757_length_166_cov_81.639640_1	4.2.2.n1:2	-	GH23_e150(2-54)	-	1	-	-
NODE_41075_length_1037_cov_28.533605_1	-	-	-	GH13_31	1	-	-
NODE_41084_length_1037_cov_4.412424_1	2.4.1.18:14	GH13_9(1-207)	GH13_e200(1-207)	CBM48+GH13_9	3	GH13_9	alpha-glucan
NODE_4108_length_7041_cov_4.078443_2	-	GT2(4-166)	GT2(5-165)	GT2	3	GT2	-
NODE_41091_length_1037_cov_3.261711_1	-	GT34(188-344)	GT34_e2(190-345)	GT34	3	GT34_e2	-
NODE_4109_length_7038_cov_4.813977_2	3.2.1.21:4	GH3(118-337)	GH3_e59(120-339)	GH3	3	GH3_e59	beta-glucan
NODE_410_length_39430_cov_61.638883_10	-	-	-	GH65	1	-	-
NODE_410_length_39430_cov_61.638883_5	-	-	-	CBM50	1	-	-
NODE_41106_length_1037_cov_2.271894_2	2.4.1.131:20;2.4.1.-:1	GT15(53-231)	GT15_e0(55-232)	-	2	GT15_e0	-
NODE_4111_length_7035_cov_41.196991_4	-	-	-	CE4+CE4	1	-	-
NODE_41121_length_1037_cov_1.649695_2	-	-	GT4_e1966(234-306)	GT4	2	GT4_e1966	-
NODE_41122_length_1037_cov_1.639511_1	-	-	-	GT4	1	-	-
NODE_4112_length_7035_cov_5.186676_1	-	-	-	GH43_30	1	-	-
NODE_41139_length_1036_cov_3.826707_1	-	-	-	GT83	1	-	-
NODE_4113_length_7034_cov_4.556383_1	3.2.1.21:20;3.2.1.-:6	GH3(34-255)	GH3_e1(36-255)	GH3	3	GH3_e1	beta-glucan;xyloglucan
NODE_41174_length_1036_cov_2.047910_2	-	GH108(7-90)	GH108_e61(8-91)	-	2	GH108_e61	peptidoglycan
NODE_4117_length_7026_cov_4.189499_1	-	-	-	AA5_1	1	-	-
NODE_4119_length_7023_cov_92.906860_4	-	-	GT2(9-129)	GT2	2	GT2	-
NODE_4119_length_7023_cov_92.906860_5	2.4.99.-:25	GT30(32-210)	GT30_e0(34-210)	GT30	3	GT30_e0	-
NODE_4119_length_7023_cov_92.906860_6	-	GT4(204-337)	GT4_e3707(205-338)	GT4	3	GT4_e3707	-
NODE_4119_length_7023_cov_92.906860_7	2.4.99.-:1	GT9(85-322)	GT9_e18(87-321)	GT9	3	GT9_e18	-
NODE_4119_length_7023_cov_92.906860_8	-	GT2(28-152)	GT2(29-152)	GT2	3	GT2	-
NODE_411_length_39394_cov_15.895701_32	-|-	-	GH23_e968(21-76)+GH23_e968(112-224)	GH0	2	GH23_e968|GH23_e968	-
NODE_4120_length_7022_cov_29.554040_8	3.2.1.10:1;3.2.1.20:4;3.2.1.70:1;3.2.1.-:1;5.4.99.11:5	GH13_31(53-177)	GH13_e122(53-177)	GH13_31	3	GH13_31	alpha-glucan;sucrose
NODE_4121_length_7018_cov_53.423237_6	-	GT2(8-168)	GT2(6-230)	GT2	3	GT2	-
NODE_4122_length_7016_cov_7.059043_3	-	-	-	GH1	1	-	-
NODE_4122_length_7016_cov_7.059043_4	3.2.1.21:4;3.2.1.37:1;3.2.1.86:49	GH1(5-472)	GH1_e85(6-472)	GH1	3	GH1_e85	beta-glucan;xylan
NODE_41230_length_1035_cov_2.336735_1	-	-	GT2(6-164)	GT0	2	GT2	-
NODE_4123_length_7014_cov_3.043253_6	-	-	-	GT4	1	-	-
NODE_41240_length_1035_cov_2.046939_1	-	-	GH17_e51(70-308)	GH17	2	GH17_e51	-
NODE_41249_length_1035_cov_1.340816_1	2.4.99.-:1	GT112(40-344)	GT112_e1(41-344)	GT112	3	GT112_e1	-
NODE_412_length_39212_cov_11.722451_13	2.4.1.1:158	GT35(101-810)	GT35_e0(102-811)	GT35	3	GT35_e0	-
NODE_412_length_39212_cov_11.722451_14	2.4.1.21:29	GT5(2-474)	GT5_e31(3-474)	GT5	3	GT5_e31	-
NODE_412_length_39212_cov_11.722451_15	-	-	-	GT5	1	-	-
NODE_412_length_39212_cov_11.722451_16	2.4.1.25:4;3.2.1.68:75;3.2.1.-:1|3.2.1.68:15;3.2.1.-:1	CBM48(9-97)+GH13_11(171-521)	CBM48_e3(8-99)+GH13_e48(170-522)	CBM48+GH13_11	3	CBM48_e3|GH13_11	-;alpha-glucan
NODE_412_length_39212_cov_11.722451_17	2.4.1.18:57|2.4.1.18:14	CBM48(125-211)+GH13_9(274-574)	CBM48_e2(122-219)+GH13_e200(275-574)	CBM48+GH13_9	3	CBM48_e2|GH13_9	alpha-glucan
NODE_412_length_39212_cov_11.722451_31	-	-	-	GT49	1	-	-
NODE_41312_length_1033_cov_8.660532_1	-	-	CBM50_e486(122-163)	CBM50	2	CBM50_e486	chitin
NODE_41339_length_1033_cov_2.414110_1	-	-	-	GH189+GH94+GT84	1	-	-
NODE_4137_length_6989_cov_8.856648_5	-	-	-	GH13_3	1	-	-
NODE_41399_length_1032_cov_2.235415_1	3.2.1.28:18	GH37(51-343)	GH37_e6(53-343)	GH37	3	GH37_e6	trehalose
NODE_4139_length_6988_cov_7.729122_3	-	-	-	GH3	1	-	-
NODE_413_length_39186_cov_7.914288_10	2.4.1.25:4;3.2.1.68:75;3.2.1.-:1|3.2.1.68:15;3.2.1.-:1	GH13_11(188-536)	CBM48_e3(15-108)+GH13_e48(188-537)	CBM48+GH13_11	3	CBM48_e3|GH13_11	-;alpha-glucan
NODE_413_length_39186_cov_7.914288_8	3.2.1.1:4;3.2.1.141:34|-	GH13_10(123-436)	CBM48_e0(7-105)+GH13_e85(124-437)	CBM48+GH13_10	3	CBM48_e0|GH13_10	alpha-glucan
NODE_413_length_39186_cov_7.914288_9	5.4.99.15:5	GH13_26(25-308)	GH13_e105(17-309)	GH13_26	3	GH13_26	alpha-glucan
NODE_41410_length_1032_cov_1.542477_2	-	-	GT4_e947(180-257)	GT4	2	GT4_e947	-
NODE_414262_length_150_cov_8.094737_1	4.2.2.n1:8	-	GH102_e2(1-49)	-	1	-	peptidoglycan
NODE_4144_length_6976_cov_4.843375_1	-	-	-	GT1	1	-	-
NODE_4146_length_6969_cov_4.062916_3	-	-	-	GH27	1	-	-
NODE_41491_length_1030_cov_2.650256_2	4.2.2.3:14	PL5_1(24-230)	PL5_e0(26-230)	PL5_1	3	PL5_1	alginate
NODE_41506_length_1030_cov_1.925128_2	-	GH15(3-208)	GH15_e9(2-208)	GH15	3	GH15_e9	-
NODE_41510_length_1030_cov_1.868718_1	-	-	-	GH25	1	-	-
NODE_41519_length_1029_cov_57.734086_1	-	-	-	GT2	1	-	-
NODE_41529_length_1029_cov_3.690965_1	-	-	-	GT2	1	-	-
NODE_4153_length_6958_cov_6.236709_2	-	GH24(30-161)	GH24_e283(32-162)	GH24	3	GH24_e283	peptidoglycan
NODE_4157_length_6950_cov_31.617984_2	-	-	-	GH6	1	-	-
NODE_41586_length_1028_cov_4.135663_1	-	GT4(91-238)	GT4_e3014(92-238)	GT4	3	GT4_e3014	-
NODE_41597_length_1028_cov_3.060637_2	-	-	-	GT0	1	-	-
NODE_415_length_39013_cov_5.915704_12	-	-	-	GH28	1	-	-
NODE_415_length_39013_cov_5.915704_13	-	-	-	GH0	1	-	-
NODE_415_length_39013_cov_5.915704_2	-	-	-	AA1_3+AA1_3	1	-	-
NODE_415_length_39013_cov_5.915704_20	-	-	-	GH114	1	-	-
NODE_415_length_39013_cov_5.915704_6	-	-	-	GH78	1	-	-
NODE_416365_length_141_cov_6.709302_1	-	-	GT4_e3411(1-41)	-	1	-	-
NODE_41667_length_1027_cov_1.849794_1	5.4.99.15:5	GH13_26(1-192)	GH13_e105(1-193)	GH13_26	3	GH13_26	alpha-glucan
NODE_4166_length_6941_cov_5.153790_2	-	CE1(120-376)	-	-	1	-	-
NODE_4166_length_6941_cov_5.153790_3	-	-	-	AA9	1	-	-
NODE_41679_length_1026_cov_4.846550_1	-	-	-	GH1	1	-	-
NODE_41685_length_1026_cov_3.992791_1	-	-	-	GH1	1	-	-
NODE_4168_length_6937_cov_4.492589_5	-	-	-	GT4	1	-	-
NODE_416_length_39012_cov_12.878533_6	-	-	-	GH13_3	1	-	-
NODE_4172_length_6935_cov_5.386483_5	-	-	CBM48_e23(119-169)	-	1	-	alpha-glucan
NODE_41742_length_1025_cov_2.938144_1	-	-	-	GT13	1	-	-
NODE_41761_length_1025_cov_2.004124_1	-	GT121(191-340)	-	GT121	2	GT121	-
NODE_41771_length_1024_cov_90.459236_1	3.2.1.-:3	GH73(164-300)	GH73_e114(166-301)	GH73	3	GH73_e114	peptidoglycan
NODE_41809_length_1024_cov_2.351909_1	-	GT123(7-183)	-	-	1	-	-
NODE_4180_length_6920_cov_4.393736_5	-	GH24(30-168)	GH24_e98(30-169)	GH24	3	GH24_e98	peptidoglycan
NODE_4181_length_6917_cov_139.343923_3	-	-	-	GT0	1	-	-
NODE_4181_length_6917_cov_139.343923_5	-	-	-	GT2	1	-	-
NODE_4181_length_6917_cov_139.343923_6	-	-	-	GT2	1	-	-
NODE_41833_length_1023_cov_4.002066_1	-	-	-	GT32	1	-	-
NODE_41839_length_1023_cov_3.257231_1	2.4.1.18:57|2.4.1.18:14	GH13_9(143-339)	CBM48_e2(3-88)+GH13_e200(144-338)	CBM48+GH13_9	3	CBM48_e2|GH13_9	alpha-glucan
NODE_41842_length_1023_cov_3.003099_1	-	-	-	GT119	1	-	-
NODE_4184_length_6911_cov_8.035443_2	-	GT119(24-365)	-	GT119	2	GT119	-
NODE_4185_length_6909_cov_38.209804_4	-	-	-	CBM50	1	-	-
NODE_418_length_38909_cov_8.734648_18	-	GH1(46-340)	GH1_e19(47-342)	GH1	3	GH1_e19	-
NODE_418_length_38909_cov_8.734648_21	-	GH186(30-517)	-	GH186	2	GH186	-
NODE_418_length_38909_cov_8.734648_22	-	GT2(253-435)	GT2(252-590)	GT2	3	GT2	-
NODE_41909_length_1021_cov_84.024845_2	-	-	-	GT2	1	-	-
NODE_41913_length_1021_cov_11.834369_1	-	-	-	GH70	1	-	-
NODE_41915_length_1021_cov_9.213251_1	-	-	-	GH70	1	-	-
NODE_41926_length_1021_cov_3.336439_1	3.2.1.78:1	GH5_40(65-338)	GH5_e171(70-340)	GH5_40	3	GH5_40	beta-mannan
NODE_4192_length_6897_cov_4.542093_1	3.2.1.20:27;3.2.1.84:26	GH31_1(344-787)	GH31_e39(343-787)	GH31_1+GH31_1	3	GH31_1	alpha-glucan
NODE_4195_length_6892_cov_3.535469_1	-	GH132(25-199)	GH132_e1(38-199)	GH132	3	GH132_e1	beta-glucan
NODE_41970_length_1020_cov_3.144041_1	-	-	GT4_e1671(1-96)	-	1	-	-
NODE_419_length_38902_cov_5.192885_10	-	-	-	GT2	1	-	-
NODE_419_length_38902_cov_5.192885_4	-	-	-	AA9	1	-	-
NODE_419_length_38902_cov_5.192885_6	-	-	-	GT48	1	-	-
NODE_41_length_99551_cov_16.478924_33	-	-	-	CBM50	1	-	-
NODE_41_length_99551_cov_16.478924_66	-	AA3(4-583)	-	-	1	-	-
NODE_41_length_99551_cov_16.478924_86	-	-	-	CBM73	1	-	-
NODE_4200_length_6889_cov_2.837430_3	-	-	-	PL4_2	1	-	-
NODE_42010_length_1019_cov_4.016598_1	-	-	-	GT2	1	-	-
NODE_4201_length_6888_cov_40.026928_2	3.2.1.28:7	GH65(553-913)	GH65_e7(554-914)	GH65	3	GH65_e7	alpha-glucan
NODE_4202_length_6887_cov_169.492242_4	-	-	-	GH13_3	1	-	-
NODE_42044_length_1019_cov_1.771784_1	-	-	GH39_e119(33-274)	GH39	2	GH39_e119	-
NODE_42048_length_1019_cov_1.590249_1	-	-	-	GT0	1	-	-
NODE_42076_length_1018_cov_2.843198_2	-	-	-	GH5_18	1	-	-
NODE_42098_length_1018_cov_1.516096_2	-	-	GH23_e268(4-54)	-	1	-	-
NODE_420_length_38770_cov_77.892703_22	-	-	-	GT33	1	-	-
NODE_420_length_38770_cov_77.892703_23	-	-	-	GH13_31	1	-	-
NODE_42145_length_1017_cov_1.587318_1	2.4.1.109:13	GT39(11-249)	GT39_e30(12-250)	GT39	3	GT39_e30	-
NODE_4218_length_6865_cov_5.072100_1	2.4.1.25:11	GH77(146-435)	GH77_e27(147-435)	GH77	3	GH77_e27	alpha-glucan
NODE_4218_length_6865_cov_5.072100_2	2.4.1.1:158	GT35(91-798)	GT35_e0(92-799)	GT35	3	GT35_e0	-
NODE_421_length_38658_cov_15.492086_25	-	-	-	GH5_11	1	-	-
NODE_42200_length_1015_cov_101.165625_1	-	-	-	GH13_26	1	-	-
NODE_4220_length_6862_cov_55.718966_5	-	-	GT9_e146(105-325)	GT0	2	GT9_e146	-
NODE_42228_length_1015_cov_2.551042_1	-	GT113(3-243)	GT113_e26(1-245)	GT113	3	GT113_e26	-
NODE_42237_length_1015_cov_1.890625_1	-	GH146(1-333)	GH146_e1(1-335)	GH146	3	GH146_e1	arabinan
NODE_42252_length_1014_cov_64.188738_1	-	GH188(3-268)	GH109_e7(2-166)	-	2	GH109_e7	host glycan
NODE_4229_length_6848_cov_3.799647_5	-	GT4(163-295)	GT4_e277(160-295)	AAW60367.1+GT4	3	GT4_e277	-
NODE_422_length_38562_cov_6.065832_16	-	-	-	GT39	1	-	-
NODE_42302_length_1013_cov_3.687891_1	-	GH188(3-154)	-	-	1	-	-
NODE_42313_length_1013_cov_2.870564_1	3.2.1.52:1	GH20(1-219)	GH20_e52(1-336)	GH20	3	GH20_e52	host glycan
NODE_4233_length_6845_cov_3.314433_5	-	-	-	GH28	1	-	-
NODE_4238_length_6839_cov_3.168927_1	-	-	-	GT50	1	-	-
NODE_4239_length_6838_cov_14.463807_2	-	GH25(32-219)	GH25_e28(33-221)	GH25	3	GH25_e28	peptidoglycan
NODE_423_length_38439_cov_40.911343_24	-	-	-	GT22	1	-	-
NODE_42468_length_1010_cov_3.074346_1	-	-	CBM32_e113(189-306)	-	1	-	host glycan
NODE_42537_length_1009_cov_2.045073_1	-	GT51(1-143)	GT51_e77(1-144)	GT51	3	GT51_e77	-
NODE_42552_length_1008_cov_12.650577_1	-	GT17(2-293)	GT17_e0(3-292)	GT17	3	GT17_e0	-
NODE_42555_length_1008_cov_4.801679_1	2.4.1.182:13	GT19(1-319)	GT19_e17(1-319)	GT19	3	GT19_e17	-
NODE_4256_length_6811_cov_89.443902_7	-	-	-	GH47	1	-	-
NODE_42572_length_1008_cov_2.687303_3	3.2.1.-:2	-	GH125_e0(2-140)	GH125	2	GH125_e0	-
NODE_42578_length_1008_cov_2.447009_1	3.2.1.17:7	GH24(3-95)	GH24_e40(4-95)	-	2	GH24_e40	peptidoglycan
NODE_42599_length_1008_cov_1.529906_1	3.2.1.78:1	GH5_41(76-285)	GH5_e136(90-287)	CBM35+GH5_41	3	GH5_41	beta-mannan
NODE_4259_length_6807_cov_19.363004_2	-	-	-	PL9_3+PL9_3	1	-	-
NODE_425_length_38222_cov_33.871774_15	-	-	-	GT35	1	-	-
NODE_4263_length_6802_cov_10.644138_3	-	-	-	GH28	1	-	-
NODE_4268_length_6793_cov_4.417631_4	-	-	-	CBM48	1	-	-
NODE_42690_length_1006_cov_2.070452_1	-	-	-	GH3	1	-	-
NODE_4269_length_6793_cov_4.156426_3	-	-	-	GH38	1	-	-
NODE_426_length_38041_cov_210.605065_1	-	-	-	GT33	1	-	-
NODE_426_length_38041_cov_210.605065_2	-	-	-	GH13_31	1	-	-
NODE_426_length_38041_cov_210.605065_34	-	-	CBM50_e486(128-169)	CBM50	2	CBM50_e486	chitin
NODE_4270_length_6792_cov_6.608283_4	-	-	GT2(12-179)	GT2	2	GT2	-
NODE_4271_length_6792_cov_3.847113_3	-	-	-	GT22	1	-	-
NODE_4273_length_6785_cov_5.321694_2	-	-	-	GH51_1+GH51_1	1	-	-
NODE_4274_length_6784_cov_12.847526_5	-	GT2(13-127)	GT2(14-136)	GT2	3	GT2	-
NODE_4274_length_6784_cov_12.847526_7	-	GT4(188-342)	GT4_e1046(192-345)	GT4	3	GT4_e1046	-
NODE_42757_length_1004_cov_8.752371_1	-	GH28(5-323)	GH28_e104(1-334)	GH28	3	GH28_e104	pectin
NODE_42773_length_1004_cov_3.093783_1	-	GH188(7-100)	-	-	1	-	-
NODE_4277_length_6777_cov_3.383517_1	2.4.1.109:13	GT39(13-258)	GT39_e30(14-258)	GT39	3	GT39_e30	-
NODE_4277_length_6777_cov_3.383517_5	-	GT71(3-241)	GT71_e16(4-243)	GT71	3	GT71_e16	-
NODE_42786_length_1004_cov_2.438356_1	-	-	-	GH189+GH94+GT84	1	-	-
NODE_42795_length_1004_cov_2.245522_1	-	-	-	CE0	1	-	-
NODE_42796_length_1004_cov_2.203372_1	-	-	-	GT0	1	-	-
NODE_4281_length_6772_cov_5.356260_3	-	-	-	GH45_1+GH45_1	1	-	-
NODE_42828_length_1003_cov_3.985232_2	-	-	GH24_e77(4-50)	-	1	-	peptidoglycan
NODE_42832_length_1003_cov_3.332278_1	-	-	-	GT90	1	-	-
NODE_42876_length_1003_cov_1.556962_2	-	GT28(2-107)	GT28_e43(2-108)	-	2	GT28_e43	-
NODE_42887_length_1002_cov_7.168955_1	2.4.99.-:11	GT9(9-176)	GT9_e71(1-175)	GT9	3	GT9_e71	-
NODE_4289_length_6761_cov_14.361766_6	-	-	GT2(7-98)	GT2	2	GT2	-
NODE_428_length_37909_cov_7.913932_12	-	-	GT32_e39(74-147)	-	1	-	-
NODE_428_length_37909_cov_7.913932_14	-	GT2(10-131)	GT2(11-168)	-	2	GT2	-
NODE_428_length_37909_cov_7.913932_15	-	-	GT32_e191(76-148)	-	1	-	-
NODE_428_length_37909_cov_7.913932_16	-	GT4(174-322)	GT4_e2087(181-326)	GT4	3	GT4_e2087	-
NODE_428_length_37909_cov_7.913932_17	-	GT2(8-143)	GT2(8-156)	-	2	GT2	-
NODE_428_length_37909_cov_7.913932_18	-	GT2(9-145)	GT2(10-170)	-	2	GT2	-
NODE_428_length_37909_cov_7.913932_19	-	GT14(7-258)	GT14_e2(7-259)	-	2	GT14_e2	-
NODE_428_length_37909_cov_7.913932_20	-	GT2(10-136)	GT2(11-171)	-	2	GT2	-
NODE_428_length_37909_cov_7.913932_27	-	-	-	GT119	1	-	-
NODE_428_length_37909_cov_7.913932_3	-	-	-	GT2	1	-	-
NODE_428_length_37909_cov_7.913932_4	-	-	-	GT2	1	-	-
NODE_42908_length_1002_cov_3.009504_1	-	GT20(2-241)	GT20_e18(1-241)	GT20	3	GT20_e18	-
NODE_429_length_37894_cov_43.161764_11	-	-	-	GT2	1	-	-
NODE_429_length_37894_cov_43.161764_13	-	GH132(154-368)	GH132_e0(156-368)	GH132	3	GH132_e0	beta-glucan
NODE_429_length_37894_cov_43.161764_5	-	-	-	GH45_2+CBM1+GH45_2	1	-	-
NODE_429_length_37894_cov_43.161764_9	-	-	-	AA2	1	-	-
NODE_42_length_99511_cov_11.293356_27	-	-	-	GT4	1	-	-
NODE_42_length_99511_cov_11.293356_40	-	-	-	GT2	1	-	-
NODE_42_length_99511_cov_11.293356_61	-	GH28(57-415)	GH28_e104(58-416)	GH28	3	GH28_e104	pectin
NODE_42_length_99511_cov_11.293356_8	-	-	-	GH0	1	-	-
NODE_43014_length_1000_cov_2.762963_1	-	-	-	GH5_18	1	-	-
NODE_43023_length_1000_cov_2.453968_1	-	-	-	AA1	1	-	-
NODE_43024_length_1000_cov_2.387302_1	-	GT4(212-328)	GT4_e3949(212-333)	GT4	3	GT4_e3949	-
NODE_43028_length_1000_cov_2.304762_2	-	-	-	GT51	1	-	-
NODE_43036_length_1000_cov_1.996825_1	-	AA1_2(41-193)	AA1_e44(43-193)	-	2	AA1_2	lignin
NODE_4303_length_6736_cov_4.201317_4	-	-	-	GH38	1	-	-
NODE_4305_length_6732_cov_10.455294_8	-	-	CBM50_e567(101-142)	CBM50	2	CBM50_e567	chitin
NODE_4306_length_6731_cov_24.317406_3	3.5.1.25:23	CE9(5-376)	CE9_e0(6-376)	CE9	3	CE9_e0	host glycan
NODE_43081_length_999_cov_2.106992_1	-	-	-	GH75	1	-	-
NODE_43084_length_999_cov_1.975636_2	3.2.1.52:16	GH3(52-274)	GH3_e19(52-274)	GH3	3	GH3_e19	chitin
NODE_430_length_37889_cov_41.379051_25	-	-	-	GH39	1	-	-
NODE_430_length_37889_cov_41.379051_30	-	-	-	GT49	1	-	-
NODE_43119_length_998_cov_2.569459_2	-	GT4(131-258)	GT4_e1589(132-269)	-	2	GT4_e1589	-
NODE_43134_length_998_cov_1.971368_1	3.2.1.-:5	GH43_26(1-299)	GH43_e105(1-300)	GH43_26	3	GH43_26	arabinan
NODE_43137_length_998_cov_1.901379_2	-	GT62(7-230)	GT62_e5(7-230)	GT62	3	GT62_e5	-
NODE_4313_length_6724_cov_3.929525_1	-	-	-	GT34	1	-	-
NODE_4313_length_6724_cov_3.929525_4	-	-	-	AA9	1	-	-
NODE_43177_length_997_cov_2.299363_1	-	-	-	CE8	1	-	-
NODE_43190_length_997_cov_1.612527_1	-	-	GT2(1-180)	-	1	-	-
NODE_43234_length_996_cov_2.387885_2	-	GH24(30-161)	GH24_e283(31-162)	GH24	3	GH24_e283	peptidoglycan
NODE_4324_length_6708_cov_17.353074_5	-	-	-	GH47	1	-	-
NODE_4325_length_6707_cov_4.612297_3	2.4.1.18:166|2.4.1.18:50	GH13_8(234-560)	CBM48_e32(76-168)+GH13_e20(261-558)	CBM48+GH13_8	3	CBM48_e32|GH13_8	alpha-glucan
NODE_4326_length_6706_cov_13.354684_2	-	-	-	GT22	1	-	-
NODE_4326_length_6706_cov_13.354684_3	-	-	-	GT2	1	-	-
NODE_4326_length_6706_cov_13.354684_4	-	-	-	GT2	1	-	-
NODE_4326_length_6706_cov_13.354684_5	-	-	-	GT2	1	-	-
NODE_4328_length_6703_cov_4.069043_3	2.4.1.267:14	GT57(89-534)	GT57_e0(90-538)	-	2	GT57_e0	-
NODE_4330_length_6702_cov_3.453287_1	-	-	-	GH71	1	-	-
NODE_43310_length_995_cov_2.311702_1	3.2.1.-:1	GH42(1-324)	GH42_e0(1-325)	GH42	3	GH42_e0	host glycan
NODE_43312_length_995_cov_2.285106_1	-	-	-	GH23	1	-	-
NODE_4331_length_6701_cov_22.898435_4	2.4.1.25:11	GH77(145-676)	GH77_e27(146-675)	GH77	3	GH77_e27	alpha-glucan
NODE_4331_length_6701_cov_22.898435_5	2.4.1.1:158	GT35(85-792)	GT35_e0(86-793)	GT35	3	GT35_e0	-
NODE_43321_length_995_cov_1.981915_1	-	CE1(3-177)	-	-	1	-	-
NODE_43337_length_994_cov_13.371672_1	-	-	-	GH13_26	1	-	-
